,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,NPT4_PUB,NPT4_PRIV,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_API,UGDS_API,OPEID,INSTNM,CITY,STABBR,INSTURL,HIGHDEG,LATITUDE,LONGITUDE
20,1,,,,,,,,6628.0,,0.0011,0.0,0.0,0.0,0.0,0.0,0.013,0.0346,0.0,0.0,0.0281,0.0,0.0141,0.0119,0.0,0.2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.0714,0.0324,0.0022,0.013,0.5005,0.0368,0.0,4904.0,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0.0,0.0069,0.0194,,,,787100,George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,2,34.0734,-86.7817
21,1,,,,,,,,8712.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.059,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.3292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057,0.0147,0.0811,0.0,0.0,0.2703,0.1032,0.0,1604.0,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,0.0044,0.0006,0.0006,,,,569900,George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,2,32.4456,-87.0132
22,3,0.7234,,,,,,,,22518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.0,0.0,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.7609,0.0543,0.0,318.0,0.3491,0.5881,0.0063,0.0094,0.0,0.0,0.0314,0.0,0.0157,,,,962107,Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/birmingham,3,33.4681,-86.8323
23,2,0.6279,420.0,500.0,420.0,540.0,,,,17864.0,0.0,0.0,0.0,0.0,0.0461,0.0,0.0,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0369,0.0,0.0,0.0968,0.0046,0.0,0.0,0.0645,0.0323,0.0184,0.0276,0.0,0.0369,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.0184,0.0046,0.4977,0.0461,1100.0,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,,,,101900,Huntingdon College,Montgomery,AL,www.huntingdon.edu,3,32.3509,-86.2853
24,2,,,,,,,,,9346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.7313,0.1194,0.0448,0.0,0.0,0.0149,0.0149,0.0299,0.0448,,,,2199700,Heritage Christian University,Florence,AL,www.hcu.edu,4,34.8591,-87.6621
25,1,,,,,,,,7163.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,0.1357,0.0,0.0,0.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0643,0.0786,0.0,0.0,0.3143,0.1929,0.0,1040.0,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,0.0202,0.0019,0.0058,,,,526000,J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,2,34.7721,-86.5738
26,1,0.8326,430.0,540.0,420.0,540.0,,,16078.0,,0.0,0.0,0.0,0.0,0.033,0.0,0.0132,0.0,0.1311,0.0,0.0234,0.0029,0.0249,0.0,0.0227,0.0396,0.0,0.0403,0.0103,0.0,0.0,0.0088,0.0,0.0,0.0051,0.0,0.0315,0.0505,0.0733,0.0359,0.0,0.0,0.0,0.0,0.0366,0.2645,0.1253,0.0271,7195.0,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0.0,0.0221,0.0246,,,,102000,Jacksonville State University,Jacksonville,AL,www.jsu.edu/,4,33.8221,-85.7666
27,1,,,,,,,,3796.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407,0.0,0.0,0.0854,0.0,0.0325,0.0,0.0,0.3049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.0854,0.1179,0.0,0.0,0.3089,0.0,0.0,1037.0,0.5853,0.297,0.0116,0.0183,0.0289,0.0,0.0135,0.0,0.0453,,,,102100,Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,2,31.102,-87.0858
28,1,,,,,,,,8799.0,,0.0067,0.0,0.0,0.0,0.0,0.0045,0.0632,0.0624,0.0,0.0,0.0535,0.0,0.0461,0.0,0.0,0.2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793,0.211,0.0,7494.0,0.6894,0.2171,0.0388,0.0169,0.0031,0.0008,0.0259,0.0079,0.0001,,,,102200,Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,2,33.6524,-86.7074
29,1,,,,,,,,5278.0,,0.0186,0.0,0.0,0.0,0.0,0.0,0.0212,0.0141,0.0,0.0,0.099,0.0,0.0084,0.0,0.0,0.3981,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232,0.0135,0.0296,0.0,0.018,0.3428,0.0129,0.0,9970.0,0.6627,0.1949,0.0396,0.0191,0.0195,0.0008,0.0363,0.004,0.0232,,,,101300,John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,2,34.6543,-86.9491
